Loyalty,total_flights,total_flights_with_companions,total_distance,total_points_accumulated,total_points_redeemed,total_cost_redeemed,points_redemption_ratio,companion_flight_ratio
100018,225,45,530230.0,53014.3,20562.8,201.9,0.3878727060434637,0.2
100102,245,55,339114.6,33903.96,18760.6,186.2,0.5533453909218864,0.22448979591836735
100140,211,51,432030.8,43192.58,4896.0,48.0,0.11335280272676464,0.24170616113744076
100214,108,17,364601.7,36453.77,12908.6,127.3,0.35410877942116825,0.1574074074074074
100272,181,50,429630.5,42953.25,10891.4,107.0,0.25356404928614246,0.27624309392265195
100301,236,68,456142.3,45605.63,11013.0,109.0,0.2414833431749545,0.288135593220339
100364,171,43,343383.5,34332.25,8707.7,85.5,0.25363033299594406,0.25146198830409355
100380,164,60,367306.4,36723.94,17829.6,174.8,0.4855034617745263,0.36585365853658536
100428,156,28,342343.2,34224.82,19927.1,197.0,0.5822411922107991,0.1794871794871795
100504,105,9,152468.1,15242.21,0.0,0.0,0.0,0.08571428571428572
100550,212,50,407410.7,40732.97,12189.5,121.6,0.29925389678189435,0.2358490566037736
100585,203,39,415571.2,41549.82,26735.5,264.4,0.6434564578137764,0.1921182266009852
100590,28,3,85694.0,8566.0,4147.0,41.0,0.4841232780761149,0.10714285714285714
100642,183,32,394647.6,39458.659999999996,7712.1,76.0,0.19544758995870617,0.17486338797814208
100644,151,46,276930.0,27687.5,25301.4,248.8,0.9138203160270881,0.304635761589404
100646,138,34,279582.8,27950.98,4583.0,45.0,0.16396562839657142,0.2463768115942029
100727,220,45,466925.7,46684.77,15212.8,149.7,0.3258621601862877,0.20454545454545456
100737,205,57,373931.3,37386.63,23519.0,232.5,0.6290751533369014,0.2780487804878049
100753,283,73,528063.1,52798.909999999996,8093.9,79.5,0.15329672525436605,0.2579505300353357
100816,143,22,373504.6,37343.56,0.0,0.0,0.0,0.15384615384615385
100853,195,48,333124.6,33304.96,9061.1,89.3,0.27206458137166356,0.24615384615384617
100883,156,14,230051.4,22999.14,0.0,0.0,0.0,0.08974358974358974
100890,136,39,252419.8,25234.48,15448.8,152.5,0.6122099603399792,0.2867647058823529
101018,201,58,464486.1,46440.11,9788.0,97.0,0.210766081303425,0.2885572139303483
101148,169,27,295913.1,29586.21,8168.8,81.0,0.2761016027399251,0.15976331360946747
101356,0,0,0.0,0.0,0.0,0.0,0.0,0.0
101363,149,32,283628.2,28356.32,19783.3,193.7,0.6976681036185232,0.21476510067114093
101487,273,54,484141.0,48403.1,38478.8,379.1,0.7949656117066883,0.1978021978021978
101515,158,41,445615.6,44554.36,26917.7,267.2,0.6041541164545962,0.25949367088607594
101540,141,27,294953.6,29487.96,7444.0,74.0,0.2524420136218308,0.19148936170212766
101544,181,42,342996.1,34293.409999999996,14158.0,139.0,0.4128489992683726,0.23204419889502761
101547,58,11,122170.0,12215.0,4735.0,47.0,0.38763814981580025,0.1896551724137931
101581,171,22,329315.1,32924.11,13061.4,128.6,0.39671231811581237,0.1286549707602339
101594,201,48,421588.8,42150.78,13099.0,129.1,0.31076530493623133,0.23880597014925373
101644,6,0,20831.0,2083.0,0.0,0.0,0.0,0.0
101663,207,55,440795.5,44072.35,14656.6,146.3,0.33255771475766555,0.26570048309178745
101664,134,30,377639.3,37758.53,0.0,0.0,0.0,0.22388059701492538
101709,197,45,430904.6,43082.66,6912.2,68.4,0.16044041848855198,0.22842639593908629
101768,6,6,12660.0,1265.0,0.0,0.0,0.0,1.0
101876,58,17,139229.6,13920.06,9792.0,97.0,0.703445243770501,0.29310344827586204
101895,154,28,357163.4,35706.44,0.0,0.0,0.0,0.18181818181818182
101945,192,21,372439.8,37235.98,10085.0,100.0,0.27084019273831383,0.109375
102168,83,17,145668.0,14564.0,0.0,0.0,0.0,0.20481927710843373
102184,235,69,499922.4,49981.84,0.0,0.0,0.0,0.2936170212765957
102207,127,18,290242.0,29020.8,0.0,0.0,0.0,0.14173228346456693
102299,218,66,292269.7,29220.57,0.0,0.0,0.0,0.30275229357798167
102308,0,0,0.0,0.0,0.0,0.0,0.0,0.0
102311,243,31,528591.8,52852.08,11157.0,110.0,0.2110985982008655,0.12757201646090535
102376,68,30,97909.0,9788.0,4550.0,45.0,0.4648549243972211,0.4411764705882353
102464,68,33,297925.2,29787.02,12224.6,121.6,0.4104002347331153,0.4852941176470588
102615,8,0,22608.0,2260.0,0.0,0.0,0.0,0.0
102726,95,28,294479.4,29442.14,15122.6,148.0,0.5136379352859541,0.29473684210526313
102730,86,37,142378.0,14233.0,0.0,0.0,0.0,0.43023255813953487
102740,18,2,31917.0,3191.0,0.0,0.0,0.0,0.1111111111111111
102788,214,45,405493.0,40540.7,10750.2,106.4,0.26517055699580916,0.2102803738317757
102851,199,72,410498.9,41041.39,15808.7,155.4,0.3851891955901104,0.36180904522613067
102877,239,65,516550.0,51647.4,10598.9,104.3,0.20521652590449857,0.2719665271966527
102982,129,58,321935.3,32186.93,0.0,0.0,0.0,0.4496124031007752
103043,216,45,533939.1,53387.01,6775.4,66.5,0.12691102198830764,0.20833333333333334
103151,159,16,469453.7,46937.87,10133.4,98.9,0.21588964305367925,0.10062893081761007
103217,164,37,341188.9,34110.19,0.0,0.0,0.0,0.22560975609756098
103304,198,58,409681.5,40960.85,14403.9,140.6,0.3516504174107715,0.29292929292929293
103340,231,68,361183.3,36112.33,0.0,0.0,0.0,0.2943722943722944
103352,0,0,0.0,0.0,0.0,0.0,0.0,0.0
